subjid,session,trialno,texpr,validity,pexpr,stimf,sex,id,onset,dur,corr_resp,subj_resp,accuracy,rt
mm_,1,155,fre,invalid,ekl,ekl99m71.avi,9,9m,278.455,3.200,1,,miss,
mm_,1,70,ekl,valid,ekl,ekl99m46.avi,9,9m,281.653,3.200,1,,miss,
mm_,1,8,fre,valid,fre,fre99w58.avi,9,9w,284.854,3.200,1,,miss,
mm_,1,117,ekl,valid,ekl,ekl99w22.avi,9,9w,288.073,3.200,1,,miss,
mm_,1,60,ekl,invalid,fre,fre99m21.avi,9,9m,291.254,3.200,1,,miss,
mm_,1,95,ekl,valid,ekl,ekl99w12.avi,9,9w,294.453,3.200,1,,miss,
mm_,1,156,fre,valid,fre,fre99m09.avi,9,9m,297.655,3.200,1,,miss,
mm_,1,104,ekl,valid,ekl,ekl99m20.avi,9,9m,300.875,3.200,1,,miss,
mm_,1,87,ekl,valid,ekl,ekl99w02.avi,9,9w,304.063,3.200,1,,miss,
mm_,1,116,ekl,valid,ekl,ekl99m24.avi,9,9m,307.255,3.200,1,,miss,
mm_,1,135,fre,valid,fre,fre99m23.avi,9,9m,310.461,3.200,1,,miss,
mm_,1,15,ekl,invalid,fre,fre99m36.avi,9,9m,313.693,3.200,1,,miss,
mm_,1,30,fre,valid,fre,fre99m47.avi,9,9m,316.962,3.200,1,,miss,
mm_,1,124,fre,valid,fre,fre99w27.avi,9,9w,320.053,3.200,1,,miss,
mm_,1,61,ekl,valid,ekl,ekl99w26.avi,9,9w,323.257,3.200,1,,miss,
mm_,1,47,ekl,invalid,fre,fre99m15.avi,9,9m,326.454,3.200,1,,miss,
mm_,1,69,fre,invalid,ekl,ekl99m24.avi,9,9m,329.655,3.200,1,,miss,
mm_,1,94,fre,valid,fre,fre99w57.avi,9,9w,332.855,3.200,1,,miss,
mm_,1,114,fre,valid,fre,fre99m36.avi,9,9m,336.052,3.200,1,,miss,
mm_,1,56,fre,valid,fre,fre99m71.avi,9,9m,339.253,3.200,1,,miss,
mm_,1,132,ekl,invalid,fre,fre99m38.avi,9,9m,342.453,3.200,1,,miss,
